,
"pchomepay_payment_checkout_invalid_payment","無效的付款方式: %s"
"pchomepay_payment_checkout_invalid_order","無效的訂單"
"pchomepay_payment_text_crd_0","信用卡(一次付清)"
"pchomepay_payment_text_crd_3","信用卡(3期)"
"pchomepay_payment_text_crd_6","信用卡(6期)"
"pchomepay_payment_text_crd_12","信用卡(12期)"
"pchomepay_payment_text_card","信用卡"
"pchomepay_payment_text_atm","ATM"
"pchomepay_payment_text_each","銀行支付"
"pchomepay_payment_text_acct","支付連餘額付款"
"pchomepay_payment_order_comment_payment_method","付款方式: %s"
"pchomepay_payment_order_comment_payment_result","付款結果 : (%s)%s"
"pchomepay_payment_order_comment_payment_failure","付款失敗, 錯誤訊息 : %s"